id,replies
,RT @pvtemorte2: Si Rihanna sort un son vendredi je jure d’apprendre les paroles le jour même
,RT @hinadirah: look @ how rihanna tags all of the creatives on the shoot. take note! https://t.co/yLY8kQa372
,RT @CHANELGlRL: the way rihanna winked at her y'all just imagine https://t.co/wctUc178nK
,"RT @rihanna: #HarpersBazaarChina  
shot by the lovely @Chenmaner https://t.co/l9HtpW0woC"
,RT @nalaeanaiswhite: “I shouldn’t but...I’m standing next to RIHANNA I have to look...I’m gonna look...god she’s so pretty...ashkflsk she j…
,RT @explosoesnoceu: rihanna após matar um homem https://t.co/OBqGmgNDQp
,"RT @fentyonthebrain: Falar de apropriação cultural da Rihanna é suicídio viu mores, existe um abismo entre ser convidada a produzir conteúd…"
,RT @rihanna: #HarpersBazaarChina by @Chenmaner https://t.co/2dOUZWndV4
,"RT @B0tcx: RIHANNA FOR HARPER’S BAZAAR, AUGUST 2019. https://t.co/07assb4S2X"
,RT @evilbart24: Rihanna makes music for girls that text you “I miss you” then ignore you all day https://t.co/r2vZBPRm08
,"RT @btsworIdwide: [BILLBOARD]
Artists with the most *consecutive* weeks at #1 on Top Social 50
1. @BTS_twt –– 104* weeks
2. Justin Bieber –…"
,"If Rihanna ever winked in my direction, I would faint."
,Queria colocar a Rihanna que existe em mim em ação
,"RT @btsworIdwide: [BILLBOARD]
Most weeks at #1 on Top Social 50 Artists
#1. Justin Bieber –– 163
#2. @BTS_twt –– 134*
#3. Taylor Swift –– 2…"
,"RT @SELENAF4NCY_: personas q apoyan a taylor: katy perry, miley cyrus, halsey, camila cabello, iggy azalea, rihanna, cara delevingne, etc
p…"
,"RT @kingdomofashes: El hecho de que haya puesto a personas desnudas SIN SU CONSENTIMIENTO y más encima, a rihanna desnuda al lado de su abu…"
,rihanna ritarda a rilasciare l’album a influenza reggae perché l’ha riascoltato e si è resa conto che in confronto… https://t.co/NfbrPTwdbe
,"RT @masoncatt: I'm a Beyhive sun, Little Monster moon, Rihanna Navy rising"
1149081857411207168,@I_MhmdFarah @7sn_faisal @JColeNC @rihanna او الحبشي دا @theweeknd
,"Fenty beauty is the only makeup brand that has my exact shade, everything else looks ashy/orange on me. @rihanna thank you queen🙏🏾"
,"RT @Tracy04114356: Most followed female artists in HISTORY on Spotify

#1. Rihanna: 32,6M
#2. Ariana Grande: 32M https://t.co/qSnoBmg41g"
,RT @xxxangely: Travis Scott x Rihanna https://t.co/beFDMXmuVZ
,"RT @FentyStats: .@Refinery29:”Rihanna's Harper's Bazaar cover isn't cultural appropriation,The shoot is the brainchild of the Vogue China t…"
,"RT @HoseokMexico: INFO
#방탄소년단 #제이홉 #BTS #JHOPE 
Actos musicales mejor pagados, de acuerdo a  Forbes
1. Taylor Swift
2. Kanye West
3. Ed She…"
,Eu quero tirar esse momento pra enaltecer meu primo. Ele é um homem tão incrível que posso dizer com convicção que a rihanna nunca mataria
